feature,importance
bnd_reserve_positive,255
net_load,185
net_load_rank,135
bnd_load_forecast_boundary,131
bnd_reserve_positive_day_mean,130
bnd_wind_forecast_boundary_jb,124
hh_index,124
bnd_load_forecast_boundary_rank,114
bnd_gas_plan_boundary_jn,111
re_fcst_err_dm1_std,111
bnd_reserve_negative,110
receive_actual_dm1_same_hh,104
pv_actual_jb_dm1_same_hh,103
bnd_receive_plan_boundary,91
p_jb_jb_dm1_same_hh_diff,85
bnd_wind_forecast_boundary_jn_rank,84
p_jn_nd_jn_3d_trend,84
p_jn_jn_dm2_same_hh_diff,82
p_jb_jb_dm2_same_hh_diff,77
re_total,76
rt_jb_nd_jb_dm1_std,74
bnd_receive_plan_boundary_rank,73
re_penetration,72
p_jb_nd_jb_dm1_same_hh_diff,72
receive_actual_dm1_mean,71
bnd_wind_forecast_boundary_jn,68
p_jb_nd_jb_3d_trend,66
p_jb_jb_dm2_same_hh,63
p_jn_jn_dm1_same_hh_diff,62
bnd_wind_forecast_boundary_jb_rank,59
p_jn_jn_dm1_mean,59
p_jb_nd_jb_dm7_same_hh,59
bnd_wind_forecast_boundary_jb_diff,57
bnd_load_forecast_boundary_diff,56
load_actual_dm1_std,55
p_jn_nd_jn_dm7_same_hh,55
p_jb_jb_dm1_same_hh,54
bnd_reserve_negative_rank,53
wind_actual_jb_dm1_same_hh,53
wind_actual_jn_dm1_same_hh,53
rt_jb_jb_dm1_same_hh,51
bnd_gas_plan_boundary_jb,49
rt_jn_nd_jn_dm1_std,49
rt_jn_nd_jn_dm2_min,48
rt_jb_nd_jb_dm2_same_hh,47
rt_jb_nd_jb_dm1_mean,47
bnd_pv_forecast_boundary_jb_rank,45
p_jb_nd_jb_dm2_same_hh_diff,45
p_jn_jn_3d_trend,44
p_jn_jn_dm7_same_hh_diff,43
rt_jn_jn_dm1_mean,42
load_fcst_err_dm1_mean,41
wind_actual_jn_dm1_std,39
bnd_load_forecast_boundary_day_std,39
rt_jb_jb_dm2_same_hh,38
gas_actual_jn_dm1_same_hh,38
rt_jn_jn_dm2_same_hh,38
dm1_spread_jb_abs_mean,38
bnd_reserve_positive_rank,37
bnd_receive_plan_boundary_diff,36
bnd_gas_plan_boundary_jn_rank,34
p_jn_nd_jn_dm1_same_hh,33
p_jb_nd_jb_dm1_max,33
p_jn_jn_dm1_same_hh,32
p_jb_jb_dm7_same_hh,31
p_jb_jb_dm7_same_hh_diff,31
p_jn_nd_jn_dm7_same_hh_diff,31
p_jb_nd_jb_dm1_same_hh,30
gas_actual_jb_dm1_mean,29
dm1_spread_jn_std,29
bnd_gas_plan_boundary_jb_rank,28
bnd_reserve_positive_diff,27
rt_jn_jn_dm1_same_hh,26
p_jb_nd_jb_dm2_same_hh,26
bnd_reserve_negative_diff,25
net_load_day_std,24
dm1_spread_jn_abs_mean,24
p_jn_nd_jn_dm1_same_hh_diff,23
bnd_gas_plan_boundary_jn_day_mean,21
p_jn_nd_jn_dm7_max,20
dm1_spread_jn_same_hh,20
bnd_gas_plan_boundary_jn_day_std,20
rt_jn_nd_jn_dm2_same_hh,20
gas_actual_jb_dm1_same_hh,18
p_jb_jb_3d_trend,18
bnd_pv_forecast_boundary_jb_diff,15
rt_jb_jb_dm1_min,15
bnd_wind_forecast_boundary_jb_day_mean,13
re_total_day_mean,9
bnd_gas_plan_boundary_jb_diff,5
