file,sheet,row_type,time_column,time_start,time_end,time_granularity,time_coverage,column,dtype,non_null,unique,example,top_values
总表/事前/事前_汇总总表合集/受电计划_合并总表.xlsx,受电计划数据,sheet_summary,查询日期,2025-06-01T00:00:00,2025-06-03T00:00:00,日,1.000,,,,,,
总表/事前/事前_汇总总表合集/受电计划_合并总表.xlsx,受电计划数据,column,,,,,,查询日期,datetime64[ns],200,3,2025-06-01 00:00:00,2025-06-01(96); 2025-06-02(96); 2025-06-03(8)
总表/事前/事前_汇总总表合集/受电计划_合并总表.xlsx,受电计划数据,column,,,,,,时间,object,200,96,00:15,
总表/事前/事前_汇总总表合集/受电计划_合并总表.xlsx,受电计划数据,column,,,,,,边界信息发布电力（MW）,int64,200,187,14071,
总表/事前/事前_汇总总表合集/受电计划_合并总表.xlsx,受电计划数据,column,,,,,,出清发布电力（MW）,int64,200,191,14073,
总表/事前/事前_汇总总表合集/正负备用空间_合并总表.xlsx,合并数据,sheet_summary,查询日期,2025-06-01T00:00:00,2025-06-03T00:00:00,日,1.000,,,,,,
总表/事前/事前_汇总总表合集/正负备用空间_合并总表.xlsx,合并数据,column,,,,,,查询日期,datetime64[ns],200,3,2025-06-01 00:00:00,2025-06-01(96); 2025-06-02(96); 2025-06-03(8)
总表/事前/事前_汇总总表合集/正负备用空间_合并总表.xlsx,合并数据,column,,,,,,时间,object,200,96,00:15,
总表/事前/事前_汇总总表合集/正负备用空间_合并总表.xlsx,合并数据,column,,,,,,正备用(MW),float64,200,200,31267.16,
总表/事前/事前_汇总总表合集/正负备用空间_合并总表.xlsx,合并数据,column,,,,,,负备用(MW),float64,200,200,3342.84,
总表/事前/事前_汇总总表合集/短期系统负荷预测_合并总表.xlsx,短期负荷预测数据,sheet_summary,查询日期,2025-06-01T00:00:00,2025-06-03T00:00:00,日,1.000,,,,,,
总表/事前/事前_汇总总表合集/短期系统负荷预测_合并总表.xlsx,短期负荷预测数据,column,,,,,,查询日期,datetime64[ns],200,3,2025-06-01 00:00:00,2025-06-01(96); 2025-06-02(96); 2025-06-03(8)
总表/事前/事前_汇总总表合集/短期系统负荷预测_合并总表.xlsx,短期负荷预测数据,column,,,,,,时间,object,200,96,00:15,
总表/事前/事前_汇总总表合集/短期系统负荷预测_合并总表.xlsx,短期负荷预测数据,column,,,,,,边界信息发布电力（MW）,int64,200,198,72875,
总表/事前/事前_汇总总表合集/短期系统负荷预测_合并总表.xlsx,短期负荷预测数据,column,,,,,,出清发布电力（MW）,int64,200,200,72894,
总表/事前/事前_江北总表合集/储能发电计划_江北分区_合并总表.xlsx,储能-江北分区数据,sheet_summary,查询日期,2025-06-01T00:00:00,2025-06-03T00:00:00,日,1.000,,,,,,
总表/事前/事前_江北总表合集/储能发电计划_江北分区_合并总表.xlsx,储能-江北分区数据,column,,,,,,查询日期,datetime64[ns],200,3,2025-06-01 00:00:00,2025-06-01(96); 2025-06-02(96); 2025-06-03(8)
总表/事前/事前_江北总表合集/储能发电计划_江北分区_合并总表.xlsx,储能-江北分区数据,column,,,,,,时间,object,200,96,00:15,
总表/事前/事前_江北总表合集/储能发电计划_江北分区_合并总表.xlsx,储能-江北分区数据,column,,,,,,预发布数据（MW）,float64,0,0,,
总表/事前/事前_江北总表合集/储能发电计划_江北分区_合并总表.xlsx,储能-江北分区数据,column,,,,,,终发布数据（MW）,float64,0,0,,
总表/事前/事前_江北总表合集/煤电发电计划_江北分区_合并总表.xlsx,煤电-江北分区数据,sheet_summary,查询日期,2025-06-01T00:00:00,2025-06-03T00:00:00,日,1.000,,,,,,
总表/事前/事前_江北总表合集/煤电发电计划_江北分区_合并总表.xlsx,煤电-江北分区数据,column,,,,,,查询日期,datetime64[ns],200,3,2025-06-01 00:00:00,2025-06-01(96); 2025-06-02(96); 2025-06-03(8)
总表/事前/事前_江北总表合集/煤电发电计划_江北分区_合并总表.xlsx,煤电-江北分区数据,column,,,,,,时间,object,200,96,00:15,
总表/事前/事前_江北总表合集/煤电发电计划_江北分区_合并总表.xlsx,煤电-江北分区数据,column,,,,,,预发布电力(MW),float64,0,0,,
总表/事前/事前_江北总表合集/煤电发电计划_江北分区_合并总表.xlsx,煤电-江北分区数据,column,,,,,,终发布电力(MW),float64,0,0,,
